Name of movie,YEAR,RATES,METASCORE,gross_collection,Votes,Watch Time,Genre,Certificate,Description,Director,Stars
Awoken,2019,4.9,NAN,10026,10026,88,"Horror, Mystery, Thriller",N/A,"When nothing can be done for a Fatal Familial Insomnia patient at the hospital, a med student has her brother moved to a secret facility in the basement for alternative treatment. Is it demonic possession?","
Daniel J. Phillips","Erik Thomson, Sara West, Benson Jack Anthony, Matt Crook"
Yip Man 4,2019,7.0,62,"3,956,031",35524,107,"Action, Biography, Drama",U,The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,"
Wilson Yip","Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu"
Pinocchio,2019,6.2,65,14185,14185,125,"Drama, Family, Fantasy",U,"Old woodcarver Geppetto's puppet creation, Pinocchio, magically comes to life with dreams of becoming a real boy. Easily led astray, Pinocchio tumbles from one misadventure to another as he is tricked, kidnapped and chased by bandits.","
Matteo Garrone","Federico Ielapi, Roberto Benigni, Rocco Papaleo, Massimo Ceccherini"
Dabangg 3,2019,3.0,NAN,19835,19835,160,"Action, Comedy, Crime",UA,"Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.","
Prabhu Deva","Salman Khan, Sudeep, Sonakshi Sinha, Saiee Manjrekar"
Star Wars: Episode IX - The Rise of Skywalker,2019,6.4,53,"515,202,542",478229,141,"Action, Adventure, Fantasy",UA,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.","
J.J. Abrams","Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver"
Cats,2019,2.8,32,54456,54456,110,"Comedy, Drama, Family",UA,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,"
Tom Hooper","James Corden, Judi Dench, Jason Derulo, Idris Elba"
Bombshell,2019,6.8,64,123197,123197,109,"Biography, Drama",A,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,"
Jay Roach","Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow"
Mardaani 2,2019,7.3,NAN,10041,10041,103,"Action, Crime, Drama",UA,A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?,"
Gopi Puthran","Rani Mukerji, Sunny Hinduja, Rajesh Sharma, Jisshu Sengupta"
Black Christmas,2019,3.5,49,17877,17877,92,"Horror, Mystery, Thriller",18,A group of female students is stalked by a stranger during their Christmas break. That is until the young sorority pledges discover that the killer is part of an underground college conspiracy.,"
Sophia Takal","Imogen Poots, Aleyse Shannon, Lily Donoghue, Brittany O'Grady"
6 Underground,2019,6.1,41,190595,190595,128,"Action, Thriller",18,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","
Michael Bay","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy"
Little Women,2019,7.8,91,"108,101,214",229899,135,"Drama, Romance",U,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","
Greta Gerwig","Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
Trauma Center,2019,4.0,NAN,11780,11780,87,"Action, Thriller",R,"Alone and trapped in a locked-down hospital, an injured young woman must escape a pair of vicious killers who are after the only piece of evidence that can implicate them in a grisly murder, the bullet in her leg.","
Matt Eskandari","Nicky Whelan, Bruce Willis, Tito Ortiz, Texas Battle"
1917,2019,8.2,78,"159,227,644",644795,119,"Action, Drama, War",R,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","
Sam Mendes","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
Jumanji: The Next Level,2019,6.7,58,"316,831,246",271268,123,"Action, Adventure, Comedy",UA,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","
Jake Kasdan","Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan"
Spies in Disguise,2019,6.8,54,"66,757,013",54437,102,"Animation, Action, Adventure",U,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.","Directors:
Nick Bruno, 
Troy Quane","Rachel Brosnahan, Jarrett Bruno, Claire Crosby, Toru Uchikado"
The Gentlemen,2019,7.8,51,"36,471,795",372512,113,"Action, Crime",A,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","
Guy Ritchie","Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
72 Hoorain,2019,7.2,NAN,15948,15948,80,"Crime, Drama, Thriller",A,"These Fidayeens, bound by an unyielding faith, embark on a harrowing journey leading them to the celestial realms. Their ultimate goal is to meet the legendary 72 Virgins, known as the Hoorain.","
Sanjay Puran Singh Chauhan","Saru Maini, Mukesh Agrohari, Narottam Bain, Aamir Bashir"
The Courier,2019,4.8,NAN,11255,11255,99,"Action, Crime, Drama",A,A courier in London discovers that one of the packages she's transporting is a bomb.,"
Zackary Adler","Olga Kurylenko, Gary Oldman, Amit Shah, Alicia Agneson"
Cep Herkülü: Naim Süleymanoglu,2019,8.2,NAN,13410,13410,141,"Biography, Drama, History",N/A,"The biography of Turkish weight lifter, and champion of Olympics, Naim Suleymanoglu.","
Özer Feyzioglu","Hayat Van Eck, Selen Öztürk, Yetkin Dikinciler, Gürkan Uygun"
The Knight Before Christmas,2019,5.6,NAN,19393,19393,92,"Adventure, Comedy, Drama",N/A,A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,"
Monika Mitchell","Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Ella Kenion"
Richard Jewell,2019,7.5,68,94564,94564,131,"Biography, Crime, Drama",A,"Security guard Richard Jewell is an instant hero after foiling a bomb attack at the 1996 Atlanta Olympics, but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case.","
Clint Eastwood","Paul Walter Hauser, Sam Rockwell, Brandon Stanley, Ryan Boz"
Koma,2019,6.3,NAN,11243,11243,111,"Action, Adventure, Mystery",Not Rated,"After a mysterious accident, a young architect comes back to his senses in a very odd world. He must find out the exact laws and regulations of it while he fights for his life and keeps looking for an exit to the real world.","
Nikita Argunov","Rinal Mukhametov, Lyubov Aksyonova, Anton Pampushnyy, Milos Bikovic"
Queen & Slim,2019,7.1,74,33907,33907,132,"Crime, Drama, Romance",R,A couple's first date takes an unexpected turn when a police officer pulls them over.,"
Melina Matsoukas","Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny"
Dark Waters,2019,7.6,73,96291,96291,126,"Biography, Drama, History",PG-13,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,"
Todd Haynes","Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman"
Lady and the Tramp,2019,6.2,48,23730,23730,111,"Adventure, Comedy, Family",PG,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,"
Charlie Bean","Tessa Thompson, Justin Theroux, Sam Elliott, Ashley Jensen"
Charlie's Angels,2019,5.0,52,"17,803,077",77829,118,"Action, Adventure, Comedy",UA,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.","
Elizabeth Banks","Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks"
Klaus,2019,8.2,65,172446,172446,96,"Animation, Adventure, Comedy",7,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Directors:
Sergio Pablos, 
Carlos Martínez López","Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso"
The Good Liar,2019,6.7,55,45769,45769,109,"Crime, Drama, Mystery",A,"Consummate con man Roy Courtnay has set his sights on his latest mark: the recently widowed Betty McLeish, worth millions. But this time, what should have been a simple swindle escalates into a cat-and-mouse game with the ultimate stakes.","
Bill Condon","Helen Mirren, Ian McKellen, Russell Tovey, Jim Carter"
Let It Snow,2019,5.8,51,23874,23874,92,"Comedy, Romance",13,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.","
Luke Snellin","Isabela Merced, Shameik Moore, Odeya Rush, Liv Hewson"
Noelle,2019,6.3,48,24558,24558,100,"Comedy, Family, Fantasy",PG,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.","
Marc Lawrence","Anna Kendrick, Shirley MacLaine, Bill Hader, Kingsley Ben-Adir"
Frozen II,2019,6.8,64,"477,373,578",186655,103,"Animation, Adventure, Comedy",U,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","Directors:
Chris Buck, 
Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff"
Last Christmas,2019,6.5,50,"35,150,750",84729,103,"Comedy, Drama, Fantasy",UA,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.","
Paul Feig","Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller"
Bala,2019,7.3,NAN,15650,15650,133,Comedy,UA,It tells the story of a man who is balding prematurely and how he copes up with the situation.,"
Amar Kaushik","Ayushmann Khurrana, Bhumi Pednekar, Yami Gautam, Saurabh Shukla"
Primal,2019,4.9,32,10434,10434,97,"Action, Thriller",R,Frank's caught wildlife in the Brazilian jungle incl. a 400 lbs. white jaguar. He ships it on the same ship as an arrested assassin. The assassin breaks free and frees the animals.,"
Nick Powell","Nicolas Cage, Famke Janssen, Kevin Durand, Jeremy Nazario"
The Outpost,2019,6.8,71,38409,38409,123,"Action, Drama, History",A,A small team of U.S. soldiers battles against hundreds of Taliban fighters in Afghanistan.,"
Rod Lurie","Scott Eastwood, Caleb Landry Jones, Orlando Bloom, Jack Kesy"
Christmas in the Wild,2019,6.2,NAN,16563,16563,85,"Comedy, Drama, Romance",13,"Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent solo and meets an elephant conservationist.","
Ernie Barbarash","Rob Lowe, Kristin Davis, Fezile Mpela, John Owen Lowe"
Doctor Sleep,2019,7.3,59,"31,581,712",208470,152,"Drama, Fantasy, Horror",A,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.","
Mike Flanagan","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis"
Playing with Fire,2019,5.1,24,15617,15617,96,"Comedy, Family",UA,A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.,"
Andy Fickman","John Cena, Keegan-Michael Key, John Leguizamo, Tyler Mane"
Shaonian de ni,2019,7.6,83,11974,11974,135,"Crime, Drama, Romance",N/A,"While she copes the the pressures of her final examinations, a bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants.","
Derek Tsang","Dongyu Zhou, Jackson Yee, Fang Yin, Ye Zhou"
Cinayet Süsü,2019,6.7,NAN,18783,18783,112,"Comedy, Crime, Mystery",N/A,"A serial killer keeps creating crime scenes that are ridiculously decorated with paints, markings and poems everywhere. The team begin solving the most mysterious murder case of the country, using the most wrong methods.","
Ali Atay","Ugur Yücel, Binnur Kaya, Cengiz Bozkurt, Feyyaz Yigit"
Housefull 4,2019,3.5,NAN,13741,13741,145,"Action, Comedy, Drama",UA,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time.","
Farhad Samji","Akshay Kumar, Riteish Deshmukh, Bobby Deol, Kriti Sanon"
Midway,2019,6.7,47,"56,846,802",91748,138,"Action, Drama, History",A,"The story of the Battle of Midway, told by the leaders and the sailors who fought it.","
Roland Emmerich","Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans"
Countdown,2019,5.4,31,43317,43317,90,"Horror, Thriller",18,"When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time runs out.","
Justin Dec","Elizabeth Lail, Jordan Calloway, Talitha Eliana Bateman, Peter Facinelli"
Kaithi,2019,8.4,NAN,38093,38093,145,"Action, Adventure, Crime",UA,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.","
Lokesh Kanagaraj","Karthi, Narain, Arjun Das, George Maryan"
Bigil,2019,6.7,NAN,23100,23100,179,"Action, Drama, Sport",UA,"Michael gives up his dream of becoming a footballer after his father's murder. However, a friend convinces him to coach a women's football team and turn his life around.","
Atlee","Joseph Vijay, Nayanthara, Jackie Shroff, Vivek"
Terminator: Dark Fate,2019,6.2,54,"62,253,077",188325,128,"Action, Adventure, Sci-Fi",UA,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.","
Tim Miller","Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes"
The Last Full Measure,2019,6.8,51,13560,13560,116,"Drama, War",R,"Thirty-four years after his death, Airman William H. ""Pits"" Pitsenbarger is awarded the nation's highest military honor for his actions on the battlefield.","
Todd Robinson","Sebastian Stan, Alison Sudol, Asher Miles Fallica, LisaGay Hamilton"
Eli,2019,5.8,NAN,39585,39585,98,"Drama, Horror, Mystery",R,A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.,"
Ciarán Foy","Charlie Shotwell, Kelly Reilly, Max Martini, Lili Taylor"
Karakomik Filmler: 2 Arada,2019,6.4,NAN,13241,13241,60,"Comedy, Drama",N/A,"Metin Arici who has been working as a staff for a ferry in Istanbul for a long time, also has been living in the same vehicle for 6 years. An interviewer visits them one day to evaluate how...                See full summary »","
Cem Yilmaz","Cem Yilmaz, Cemre Ebuzziya, Ozan Güven, Zafer Algöz"
Karakomik Filmler: Kaçamak,2019,5.5,NAN,10314,10314,60,"Adventure, Comedy, Fantasy",N/A,Karakomik Films consists of two different films called Kaçamak and 2 Arada. The adventures of the four friends who are on vacation together in Kaçamak are the subject of the story.,"
Cem Yilmaz","Cem Yilmaz, Zafer Algöz, Özkan Ugur, Can Yilmaz"
Maleficent: Mistress of Evil,2019,6.6,43,"113,929,605",114590,119,"Adventure, Family, Fantasy",U,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.","
Joachim Rønning","Angelina Jolie, Elle Fanning, Harris Dickinson, Michelle Pfeiffer"
Jay and Silent Bob Reboot,2019,5.6,46,"4,589,490",27633,105,"Action, Adventure, Comedy",R,Jay and Silent Bob inadvertently sign away their names and rights to the new Bluntman and Chronic movie. Now they head to Hollywood to stop the film from being made. Along the way Jay discovers that he is a father.,"
Kevin Smith","Joey Lauren Adams, Ben Affleck, Fred Armisen, Diedrich Bader"
Mermaid Down,2019,4.4,NAN,11067,11067,91,"Fantasy, Horror, Mystery",N/A,"A mermaid is ripped from the Pacific, her tail is chopped off and she's thrown into a mental home where no one believes she is a mermaid.","
Jeffrey Grellman","Meggan Kaiser, Alexandra Bokova, Phillip Andre Botello, Jessica Honor Carleton"
The Addams Family,2019,5.8,46,"100,044,905",43596,86,"Animation, Comedy, Family",U,The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.,"Directors:
Greg Tiernan, 
Conrad Vernon","Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard"
Jexi,2019,6.0,39,30685,30685,84,"Comedy, Romance, Sci-Fi",R,"Phil makes top 10 pop lists at work. His only ""friend"" is cellphone Siri. His new phone includes AI helper Jexi, who improves/controls his social life.","Directors:
Jon Lucas, 
Scott Moore","Adam Devine, Alexandra Shipp, Rose Byrne, Ron Funches"
Miracle in Cell No. 7,2019,8.2,NAN,53320,53320,132,Drama,N/A,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,"
Mehmet Ada Öztekin","Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal"
Earthquake Bird,2019,6.0,51,15514,15514,107,"Crime, Drama, Mystery",R,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.","
Wash Westmoreland","Alicia Vikander, Kiki Sukezane, Kenichi Masuda, Chiaki Kawamo"
