Name of movie,YEAR,RATES,METASCORE,gross_collection,Votes,Watch Time,Genre,Certificate,Description,Director,Stars
Judas and the Black Messiah,2021,7.4,85,88047,88047,126,"Biography, Drama, History",A,"Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton.","
Shaka King","LaKeith Stanfield, Daniel Kaluuya, Jesse Plemons, Dominique Fishback"
Tootsie,1982,7.4,88,"177,200,000",112250,116,"Comedy, Drama, Romance",U,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.","
Sydney Pollack","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman"
Elizabeth,1998,7.4,75,"30,082,699",103434,124,"Biography, Drama, History",R,The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.,"
Shekhar Kapur","Cate Blanchett, Liz Giles, Rod Culbertson, Paul Fox"
Dirty Rotten Scoundrels,1988,7.4,68,"42,039,085",76054,110,"Comedy, Crime",U,Two con men try to settle their rivalry by betting on who can swindle a young American heiress out of fifty thousand dollars first.,"
Frank Oz","Steve Martin, Michael Caine, Glenne Headly, Anton Rodgers"
The Mission,1986,7.4,55,"17,218,023",64275,125,"Adventure, Drama, History",UA,Eighteenth-century Spanish Jesuits try to protect a remote South American tribe in danger of falling under the rule of pro-slavery Portugal.,"
Roland Joffé","Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn"
Garden State,2004,7.4,67,"26,782,316",221267,102,"Comedy, Drama, Romance",R,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,"
Zach Braff","Zach Braff, Peter Sarsgaard, Natalie Portman, Ian Holm"
Bullitt,1968,7.4,81,"42,300,873",73841,114,"Action, Crime, Thriller",A,"An all-guts, no-glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.","
Peter Yates","Steve McQueen, Jacqueline Bisset, Robert Vaughn, Don Gordon"
Best in Show,2000,7.4,78,"18,715,392",65312,90,Comedy,PG-13,A behind-the-scenes look into the highly competitive and cut-throat world of dog shows through the eyes of a group of ruthless dog owners.,"
Christopher Guest","Fred Willard, Eugene Levy, Catherine O'Hara, Jennifer Coolidge"
Thief,1981,7.4,78,"11,492,915",36813,123,"Action, Crime, Drama",N/A,An ace safe cracker wants to do one last big heist for the mob before going straight.,"
Michael Mann","James Caan, Tuesday Weld, Willie Nelson, Jim Belushi"
El espinazo del diablo,2001,7.4,78,"754,749",69600,106,"Drama, Horror, Thriller",UA,"After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover.","
Guillermo del Toro","Marisa Paredes, Eduardo Noriega, Federico Luppi, Fernando Tielve"
Three Days of the Condor,1975,7.4,63,"41,509,797",60252,117,"Crime, Mystery, Thriller",N/A,"A bookish CIA researcher in Manhattan finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.","
Sydney Pollack","Robert Redford, Faye Dunaway, Cliff Robertson, Max von Sydow"
The Way Way Back,2013,7.4,68,"21,501,098",154876,103,"Comedy, Drama",PG-13,"Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park.","Directors:
Nat Faxon, 
Jim Rash","Steve Carell, Toni Collette, Allison Janney, AnnaSophia Robb"
Marathon Man,1976,7.4,64,"21,709,020",68426,125,"Crime, Drama, Thriller",A,"After the shocking murder of his older brother, a New York history student finds himself inexplicably hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds.","
John Schlesinger","Dustin Hoffman, Laurence Olivier, Roy Scheider, William Devane"
Straw Dogs,1971,7.4,73,63316,63316,113,"Crime, Drama, Thriller",A,A young American and his English wife come to rural England and face increasingly vicious local harassment.,"
Sam Peckinpah","Dustin Hoffman, Susan George, Peter Vaughan, T.P. McKenna"
The Bucket List,2007,7.4,42,"93,466,502",255202,97,"Adventure, Comedy, Drama",U,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,"
Rob Reiner","Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd"
Notes on a Scandal,2006,7.4,73,"17,508,670",82642,92,"Crime, Drama, Romance",R,"A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her fifteen-year-old students. However, her intentions with this new ""friend"" also go well beyond a platonic friendship.","
Richard Eyre","Cate Blanchett, Judi Dench, Andrew Simpson, Tom Georgeson"
In the Bedroom,2001,7.4,86,"35,930,604",41616,131,"Crime, Drama",UA,A New England couple's college-aged son dates an older woman who has two small children and an unwelcome ex-husband.,"
Todd Field","Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei"
Five Easy Pieces,1970,7.4,85,"19,402,000",39588,98,Drama,U,"A dropout from upper-class America picks up work along the way on oil rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.","
Bob Rafelson","Jack Nicholson, Karen Black, Billy Green Bush, Fannie Flagg"
Terms of Endearment,1983,7.4,79,"108,423,489",63830,132,"Comedy, Drama",A,Follows hard-to-please Aurora looking for love and her daughter's family problems.,"
James L. Brooks","Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito"
A Hidden Life,2019,7.4,78,26847,26847,174,"Biography, Drama, Romance",PG-13,"The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.","
Terrence Malick","August Diehl, Valerie Pachner, Maria Simon, Karin Neuhäuser"
"McFarland, USA",2015,7.4,60,"44,469,602",41128,129,"Biography, Drama, Sport",PG,"Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region.","
Niki Caro","Kevin Costner, Maria Bello, Ramiro Rodriguez, Carlos Pratts"
True Grit,1969,7.4,83,"31,132,592",50149,128,"Adventure, Drama, Western",U,"A drunken, hard-nosed U.S. Marshal and a Texas Ranger help a stubborn teenager track down her father's murderer in Indian Territory.","
Henry Hathaway","John Wayne, Kim Darby, Glen Campbell, Jeremy Slate"
Eighth Grade,2018,7.4,87,"13,539,709",80695,93,"Comedy, Drama",R,An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,"
Bo Burnham","Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan"
Welcome to the Dollhouse,1995,7.4,83,"4,771,000",36414,88,"Comedy, Drama",R,"An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey.","
Todd Solondz","Heather Matarazzo, Christina Brucato, Victoria Davis, Christina Vidal"
Hoosiers,1986,7.4,76,"28,607,524",49856,114,"Drama, Sport",U,A coach with a checkered past and a local drunk train a small-town high school basketball team to become a top contender for the state championship in 1950s Indiana.,"
David Anspaugh","Gene Hackman, Barbara Hershey, Dennis Hopper, Sheb Wooley"
Dolores Claiborne,1995,7.4,62,"24,361,867",46969,132,"Crime, Drama, Mystery",R,A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.,"
Taylor Hackford","Kathy Bates, Jennifer Jason Leigh, Christopher Plummer, Judy Parfitt"
C'mon C'mon,2021,7.4,82,36346,36346,109,Drama,R,"When his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from Los Angeles.","
Mike Mills","Joaquin Phoenix, Gaby Hoffmann, Woody Norman, Scoot McNairy"
To Catch a Thief,1955,7.4,82,"8,750,000",77619,106,"Mystery, Romance, Thriller",A,A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.,"
Alfred Hitchcock","Cary Grant, Grace Kelly, Jessie Royce Landis, John Williams"
Miracle,2004,7.4,68,"64,378,093",57365,135,"Biography, Drama, History",U,"The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.","
Gavin O'Connor","Kurt Russell, Patricia Clarkson, Nathan West, Noah Emmerich"
De rouille et d'os,2012,7.4,73,"2,061,449",69467,120,"Drama, Romance",R,"Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.","
Jacques Audiard","Marion Cotillard, Matthias Schoenaerts, Armand Verdure, Céline Sallette"
The Cider House Rules,1999,7.4,75,"57,545,092",103255,126,"Drama, Romance",U,"A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world.","
Lasse Hallström","Tobey Maguire, Charlize Theron, Michael Caine, Delroy Lindo"
A Monster Calls,2016,7.4,76,"3,740,823",91805,108,"Adventure, Drama, Family",UA,"Conor, a twelve-year-old boy, encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.","
J.A. Bayona","Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell"
The Constant Gardener,2005,7.4,82,"33,579,797",146868,129,"Drama, Mystery, Romance",U,"A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.","
Fernando Meirelles","Ralph Fiennes, Rachel Weisz, Danny Huston, Hubert Koundé"
Mudbound,2017,7.4,85,52763,52763,134,"Drama, War",R,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.","
Dee Rees","Jason Mitchell, Carey Mulligan, Jason Clarke, Mary J. Blige"
Man on the Moon,1999,7.4,58,"34,580,635",135291,118,"Biography, Comedy, Drama",R,The life and career of legendary comedian Andy Kaufman.,"
Milos Forman","Jim Carrey, Danny DeVito, Gerry Becker, Greyson Erik Pendry"
K-PAX,2001,7.4,49,"50,338,485",190326,120,"Drama, Mystery, Sci-Fi",U,"PROT is a patient at a mental hospital who claims to be from a faraway planet named K-PAX. His psychiatrist tries to help him, only to begin to doubt his own explanations.","
Iain Softley","Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard"
Calvary,2014,7.4,77,"3,593,460",63054,102,"Crime, Drama, Mystery",R,"After he is threatened during a confession, a good-natured priest must battle the dark forces closing in around him.","
John Michael McDonagh","Brendan Gleeson, Chris O'Dowd, Kelly Reilly, Aidan Gillen"
Howards End,1992,7.4,88,"25,967,000",34913,142,"Drama, Romance",U,A businessman thwarts his wife's bequest of an estate to another woman.,"
James Ivory","Anthony Hopkins, Emma Thompson, Vanessa Redgrave, Helena Bonham Carter"
Oliver!,1968,7.4,74,"16,800,000",40513,153,"Drama, Family, Musical",U,"After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London.","
Carol Reed","Mark Lester, Ron Moody, Shani Wallis, Oliver Reed"
2046,2004,7.4,78,"1,444,588",60475,129,"Drama, Romance, Sci-Fi",R,"Several women enter a science fiction author's life over the course of a few years, after the author has lost the woman he considers his one true love.","
Kar-Wai Wong","Tony Leung Chiu-wai, Ziyi Zhang, Faye Wong, Gong Li"
Black Dynamite,2009,7.4,65,"228,477",50994,84,"Action, Comedy",R,"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.","
Scott Sanders","Michael Jai White, Arsenio Hall, Tommy Davidson, Phyllis Applegate"
High Plains Drifter,1973,7.4,69,"15,700,000",62018,105,"Drama, Mystery, Western",A,A gun-fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.,"
Clint Eastwood","Clint Eastwood, Verna Bloom, Marianna Hill, Mitchell Ryan"
The Natural,1984,7.4,61,"47,951,979",51441,138,"Drama, Sport",U,A middle-aged unknown comes seemingly out of nowhere to become a legendary baseball player with almost supernatural talent.,"
Barry Levinson","Robert Redford, Robert Duvall, Glenn Close, Kim Basinger"
...And Justice for All,1979,7.4,58,37850,37850,119,"Crime, Drama, Thriller",N/A,"A lawyer is forced to defend a guilty judge, while defending other innocent clients, and trying to find punishment for the guilty and provide justice for the innocent.","
Norman Jewison","Al Pacino, Jack Warden, John Forsythe, Lee Strasberg"
Les Misérables,1998,7.4,65,"14,096,321",42568,134,"Crime, Drama, Romance",UA,"Valjean, a former criminal, has atoned for his past and now finds himself in the midst of the French Revolution, avoiding a law-obsessed policeman hell-bent on capturing him.","
Bille August","Liam Neeson, Geoffrey Rush, Uma Thurman, Christopher Adamson"
Morte a Venezia,1971,7.4,NAN,"149,810",22524,130,"Drama, Romance",U,"While recovering in Venice, sickly composer Gustav von Aschenbach becomes dangerously fixated with teenager Tadzio.","
Luchino Visconti","Dirk Bogarde, Romolo Valli, Mark Burns, Nora Ricci"
L'événement,2021,7.4,86,10595,10595,100,Drama,R,"An adaptation of Annie Ernaux's novel of the same name, looking back on her experience with abortion when it was still illegal in France in the 1960s.","
Audrey Diwan","Anamaria Vartolomei, Kacey Mottet Klein, Luàna Bajrami, Louise Orry-Diquéro"
The King and I,1956,7.4,72,"21,300,000",27428,133,"Biography, Drama, Musical",U,A widow accepts a job as a live-in governess to the King of Siam's children.,"
Walter Lang","Yul Brynner, Deborah Kerr, Rita Moreno, Martin Benson"
Lean on Me,1989,7.4,58,"31,906,454",22315,108,Drama,Not Rated,The dedicated but tyrannical Joe Clark is appointed the principal of a decaying inner-city school he is determined to improve by any and all means.,"
John G. Avildsen","Morgan Freeman, Beverly Todd, Robert Guillaume, Alan North"
Night of the Demon,1957,7.4,NAN,14927,14927,95,"Fantasy, Horror, Mystery",N/A,"American professor John Holden arrives in London for a parapsychology conference, only to find himself investigating the mysterious actions of Devil-worshiper Julian Karswell.","
Jacques Tourneur","Dana Andrews, Peggy Cummins, Niall MacGinnis, Maurice Denham"
Reign Over Me,2007,7.4,61,"19,661,987",98762,124,Drama,R,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,"
Mike Binder","Adam Sandler, Don Cheadle, Jada Pinkett Smith, Liv Tyler"
Frenzy,1972,7.4,92,"12,600,000",48182,116,Thriller,A,"A serial murderer is strangling women with a necktie. The London police have a suspect, but he is the wrong man.","
Alfred Hitchcock","Jon Finch, Barry Foster, Barbara Leigh-Hunt, Anna Massey"
